orderAmount,orderState,paymentMethodRegistrationFailure,paymentMethodType,paymentMethodProvider,paymentMethodIssuer,transactionAmount,transactionFailed,fraudulent,samecity,samestate,emailDomain,emailProvider,customerIPAddressSimplified
,,,,,,14,False,,unknown,unknown,weird,weird,only_letters
,,,,,,21,False,,unknown,unknown,weird,weird,only_letters
,,,,,,27,False,,unknown,unknown,weird,weird,only_letters
,,,,,,35,False,,unknown,unknown,weird,weird,only_letters
,,,,,,13,False,,unknown,unknown,weird,weird,only_letters
,,,,,,46,False,,unknown,unknown,weird,weird,only_letters
,,,,,,27,False,,unknown,unknown,weird,weird,only_letters
,,,,,,49,False,,unknown,unknown,weird,weird,only_letters
,,,,,,54,True,,unknown,unknown,weird,weird,only_letters
,,,,,,54,False,,unknown,unknown,weird,weird,only_letters
,,,,,,37,True,,unknown,unknown,weird,weird,only_letters
,,,,,,37,False,,unknown,unknown,weird,weird,only_letters
,,,,,,43,False,,unknown,unknown,weird,weird,only_letters
,,,,,,64,False,,unknown,unknown,weird,weird,only_letters
,,,,,,40,False,,unknown,unknown,weird,weird,only_letters
,,,,,,23,False,,unknown,unknown,weird,weird,only_letters
,,,,,,32,False,,unknown,unknown,weird,weird,only_letters
,,,,,,25,True,,unknown,unknown,weird,weird,only_letters
,,,,,,25,True,,unknown,unknown,weird,weird,only_letters
,,,,,,25,False,,unknown,unknown,weird,weird,only_letters
,,,,,,19,False,,unknown,unknown,weird,weird,only_letters
,,,,,,27,False,,unknown,unknown,weird,weird,only_letters
